route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
16,subota,Linija_16_Smer_A_subota_T06,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T07,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T08,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T09,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T10,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T11,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T12,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T13,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T14,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T15,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T16,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T17,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T18,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T19,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T20,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T21,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T22,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T23,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T24,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T25,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T26,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T27,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T28,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T29,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T30,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T31,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T32,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T33,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T34,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_B_subota_T01,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T02,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T03,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T04,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T05,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T06,Teslino Naselje,1,,Linija_16_Smer_B,0,
