stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
47101,47101,Petra Horvatskog,,46.066077,19.67006,1,,,,,0
47110,47110,Novo Naselje Okretište,,46.066338,19.674816,1,,,,,0
47111,47111,Novo Naselje Okretište,,46.066203,19.674509,1,,,,,0
47240,47240,Dr Ferenca Bodrogvarija,,46.131686,19.639003,1,,,,,0
47241,47241,Dr Ferenca Bodrogvarija,,46.13196,19.638824,1,,,,,0
47310,47310,Prodavnica Fareks,,46.128434,19.642677,1,,,,,0
47311,47311,Prodavnica Fareks,,46.128538,19.642716,1,,,,,0
47320,47320,Zorkina,,46.125135,19.64589,1,,,,,0
47321,47321,Zorkina,,46.125229,19.64589,1,,,,,0
47340,47340,Padejska,,46.121973,19.648257,1,,,,,0
47341,47341,Padejska,,46.122008,19.648338,1,,,,,0
47350,47350,Drvara Subotica,,46.119446,19.650124,1,,,,,0
47351,47351,Drvara Subotica,,46.11951,19.650191,1,,,,,0
47360,47360,Somborska,,46.116461,19.652324,1,,,,,0
47361,47361,Somborska,,46.116469,19.652405,1,,,,,0
47370,47370,Bazeni,,46.113618,19.654332,1,,,,,0
47371,47371,Bazeni,,46.113543,19.654504,1,,,,,0
47380,47380,Dudova Šuma-Groblje,,46.110193,19.657285,1,,,,,0
47381,47381,Dudova Šuma-Groblje,,46.110164,19.657502,1,,,,,0
47390,47390,Hala Sportova,,46.108399,19.655774,1,,,,,0
47391,47391,Hala Sportova,,46.108631,19.656119,1,,,,,0
47400,47400,Samoposluga Broj 23,,46.104615,19.65935,1,,,,,0
47401,47401,Samoposluga Broj 23,,46.104858,19.659593,1,,,,,0
47410,47410,Politehnička Škola,,46.096587,19.662062,1,,,,,0
47420,47420,Pačirski Put Ev-Pro,,46.078341,19.66549,1,,,,,0
47421,47421,Pačirski Put Ev-Pro,,46.078479,19.665803,1,,,,,0
47430,47430,Kerska Crkva,,46.089423,19.665762,1,,,,,0
47431,47431,Kerska Crkva,,46.090201,19.66491,1,,,,,0
47440,47440,Bolnica 2 - Subotica,,46.082228,19.673705,1,,,,,0
47441,47441,Bolnica 2 - Subotica,,46.081762,19.674172,1,,,,,0
47450,47450,Aleksandrovo - Groblje,,46.066037,19.680966,1,,,,,0
47451,47451,Aleksandrovo - Groblje,,46.066593,19.681208,1,,,,,0
47470,47470,Bajski Put,,46.101857,19.624602,1,,,,,0
47471,47471,Bajski Put,,46.101716,19.624186,1,,,,,0
47480,47480,Bunar,,46.102703,19.631275,1,,,,,0
47481,47481,Bunar,,46.102614,19.631211,1,,,,,0
47490,47490,Bajski Put - Dom,,46.102741,19.639339,1,,,,,0
47491,47491,Bajski Put - Dom,,46.102658,19.639348,1,,,,,0
47510,47510,Drvara Raskrsnica,,46.101687,19.642997,1,,,,,0
47511,47511,Drvara Raskrsnica,,46.101284,19.644105,1,,,,,0
47530,47530,Škola Đuro Salaj,,46.100554,19.647596,1,,,,,0
47531,47531,Škola Đuro Salaj,,46.100366,19.648276,1,,,,,0
47550,47550,Sadecki Bajski Put,,46.09961,19.653164,1,,,,,0
47551,47551,Sadecki Bajski Put,,46.099583,19.652994,1,,,,,0
47570,47570,Matije Gupca,,46.097339,19.662307,1,,,,,0
47580,47580,Pošta I,,46.097355,19.664437,1,,,,,0
47581,47581,Pošta I,,46.097132,19.664214,1,,,,,0
47601,47601,Subotica - Nova Opština,,46.099595,19.670871,1,,,,,0
47620,47620,Radio Subotica,,46.101152,19.673319,1,,,,,0
47621,47621,Radio Subotica,,46.101445,19.673323,1,,,,,0
47640,47640,Železničar,,46.107611,19.669942,1,,,,,0
47641,47641,Železničar,,46.107554,19.670126,1,,,,,0
47650,47650,Skrob,,46.111196,19.669995,1,,,,,0
47651,47651,Skrob,,46.110916,19.669949,1,,,,,0
47670,47670,Škola Majšanski Put,,46.115127,19.672618,1,,,,,0
47671,47671,Škola Majšanski Put,,46.114727,19.672604,1,,,,,0
47690,47690,Kolar,,46.118533,19.673734,1,,,,,0
47691,47691,Kolar,,46.119139,19.67398,1,,,,,0
47730,47730,II Krivina,,46.125928,19.676831,1,,,,,0
